contig,element,orientation,start,end,hit_count,coverage_ratio,std_dev
chrY,DYZ18_Yq,+,27983448,28258700,126,0.0,80988.38184812437
chrY,DYZ1_Yq,-,28426233,29137785,208,0.9985904071797884,5.467634472214085
chrY,DYZ2_Yq,PossibleInversion,29137739,29171530,11,0.0,10062.082657680765
chrY,DYZ1_Yq,+,29171486,29619407,141,0.995130848674546,7.2597401145366245
chrY,DYZ2_Yq,-,29619359,29668699,19,0.0,14084.039821420487
chrY,DYZ1_Yq,-,29678354,29798881,35,0.9917114695340502,0.0
chrY,DYZ2_Yq,+,29802835,29824619,7,0.0,6165.8111929142515
chrY,DYZ1_Yq,-,29835306,31393319,487,0.992914697814012,5.13422645505713
chrY,DYZ2_Yq,+,31393267,31573747,16,0.0,70941.83428584292
chrY,DYZ1_Yq,-,31604918,31942210,98,0.9931898972110301,4.794933912075455
chrY,DYZ2_Yq,+,31942160,32058497,34,0.0,35653.18168199841
chrY,DYZ1_Yq,-,32058448,32581342,152,0.997645798869754,3.169564374999559
chrY,DYZ2_Yq,+,32581291,32759432,41,0.0,51060.053210802675
chrY,DYZ1_Yq,-,32812353,33437923,182,0.9990089054639681,6.942239026567237
chrY,DYZ2_Yq,+,33437873,33533784,26,0.0,26948.566467075758
chrY,DYZ1_Yq,-,33541892,34351035,238,0.9925279060340311,3.9123822706605624
chrY,DYZ2_Yq,+,34350983,34691060,86,0.0,88055.35189379423
chrY,DYZ1_Yq,-,34707711,35091526,111,0.9972330491693937,3.537800596112115
chrY,DYZ2_Yq,+,35091474,35279412,48,0.0,59594.201188250954
chrY,DYZ1_Yq,-,35304486,35792232,141,0.997763184601853,4.565280463923953
chrY,DYZ2_Yq,+,35792182,36422608,169,0.0,166328.27342233408
chrY,DYZ1_Yq,-,36485182,36799000,92,0.9993499437573888,3.4021594682225755
chrY,DYZ2_Yq,+,36798948,36894875,19,0.0,33418.84083958821
chrY,DYZ1_Yq,-,36928464,37320314,114,0.9969401634805066,3.2805012519810686
chrY,DYZ2_Yq,+,37320264,37384757,8,0.0,28218.674978655898
chrY,DYZ1_Yq,-,37416260,37690855,78,1.0,3.170108322575036
chrY,DYZ2_Yq,+,37690802,37936696,44,0.0,82904.25318272779
chrY,DYZ1_Yq,-,37958180,38488281,153,1.0,3.9328185796715083
chrY,DYZ2_Yq,+,38488231,39366705,166,0.0,267072.97062828526
chrY,DYZ1_Yq,-,39372392,40593087,352,0.9970910038207711,3.000206971699911
chrY,DYZ2_Yq,+,40593034,40976820,80,0.0,111383.620658044
chrY,DYZ1_Yq,-,40996033,41355585,102,1.0,4.356435643564357
chrY,DYZ2_Yq,+,41355535,41519179,38,0.0,57376.895642183066
chrY,DYZ1_Yq,-,41540667,42074712,153,1.0,3.1678297664746573
chrY,DYZ2_Yq,+,42074662,42601338,121,0.0,166604.3000205208
chrY,DYZ1_Yq,-,42608311,42851370,73,0.9974779889739159,4.188254262271108
chrY,DYZ2_Yq,+,42851317,43363080,62,0.0,152235.6102764722
chrY,DYZ1_Yq,-,43371187,44535924,340,0.9946777730270671,3.5246454362668946
chrY,DYZ2_Yq,+,44535870,44830098,72,0.0,93976.11704023702
chrY,DYZ1_Yq,-,44866252,45200914,95,1.0,5.437377556730071
chrY,DYZ2_Yq,+,45200862,45362113,33,0.0,57619.54614618874
chrY,DYZ1_Yq,-,45386023,45965928,167,1.0,3.7100805036536917
chrY,DYZ2_Yq,+,45965878,46818481,172,0.0,268207.13717572956
chrY,DYZ1_Yq,-,46818433,47074239,78,0.997204924024753,4.547123997689377
chrY,DYZ2_Yq,+,47074186,47456280,58,0.0,123166.71545878332
chrY,DYZ1_Yq,-,47456227,47757355,90,0.9961245844804054,5.672610758199318
chrY,DYZ2_Yq,+,47759229,47959944,50,0.0,66675.67105716883
chrY,DYZ1_Yq,-,47971755,48533264,161,0.9982226496411462,4.866334445709625
chrY,DYZ2_Yq,+,48533212,49125605,123,0.0,179392.95874720855
